seq,word,hzctable,strokesnum,pinyins,strokes,strokesok,explanation
3535,丕,表3丙表1000字,5画,pī,一 丿 丨 丶 一,true(a5~e5),丕〈形〉(形声。从一，不声。本义大) 同本义丕，大也。--《说文》未丕扬先帝之盛功。--《汉书·匡衡传》太医令吉丕。--《后汉书·耿秉传》昧旦丕显。--《左传·昭公三年》弼我丕丕基。--《书·大诰》又如丕变(大变);丕训(伟大而可为法则的言论);丕烈(伟大的功业);丕业(伟大的事业);丕绩(伟大的功绩);丕显(伟大而显明);丕丕基(极伟大的帝王家业。指帝王之位)丕 〈动〉尊奉 丕 〈连〉乃，于是 丕pī大，宏大～业。～绩（绩功绩）。丕bù 1.通'不'。 2.象声词。参见'丕丕''丕2的'。
3544,仡,表3丙表1000字,5画,yì、gē,丿 丨 丿 一 ⺄,true(a5~e5),仡佬族 ge仡 yi壮勇 仡然从乎赵盾而入。--《公羊传》又如仡勇(壮勇，英武);仡然(壮勇的样子);仡仡(勇壮的样子)耸立 崇墉仡仡。--《诗·大雅·皇矣》又如仡仡(高耸的样子);仡立(直立不动)仡gē仡yì 1.壮勇貌。 2.耸立;矗立。参见'仡仡'﹑'仡立'。 3.见'仡仡'。 4.抬头。 5.见'仡栗'。 6.通'劼'。参见'仡仡'。仡wù 1.见'仡仡'。
3545,仫,表3丙表1000字,5画,mù,丿 丨 丿 𠃋 丶,true(a5~e5),仫佬族仫mù
3546,仞,表3丙表1000字,5画,rèn,丿 丨 𠃌 丿 ㇀,true(a5~e5),仞 (形声。从人，刃声。本义古代长度单位。周制八尺，汉制七尺)同本义 仞，伸臂一寻八尺也。--《说文》按，诸说不一筑宫仞有三尺。--《礼记·祭义》深八尺谓之洫，深二仞谓之浍。--《考工记·匠人》太行、王屋二山，方七百里，高万仞。--《列子·汤问》一片孤城万仞山。--唐·王之涣《凉州词》夫子之墙数仞。--《论语·子张》春秋时楚地名，在今湖北省十堰市东 子越自石溪，子贝自仞以伐庸。--《左传》用同刃。锋刃，借指刀剑之类的兵器 仞rèn〈古〉以七尺或八尺为一仞。
3548,氐,表3丙表1000字,5画,dī、dǐ,丿 𠄌 一 ㇂ 丶,true(a5~e5),氐 低，低下◇作低。头向下垂 封君皆氐首仰给焉。--《汉书·食货志下》。师古曰氐首，犹俯首也。氐 低;低廉 氐 中国古代的一个少数民族 自彼氐羌。--《诗·商颂·殷武》星名 氐 根本 尹氏大师，维周之氐。--《诗·小雅·节南山》氐，本也。--《说文》。按，柢之氐 dī①我国古代西部的少数民族。②二十八宿之一。又见dǐ。【氐人】中国古族名。原在中国北部和西部的广大地区游牧。从东汉起陆续内迁，主要居住在今陕西、甘肃、四川等广大地区。从事畜牧、农业。魏晋时大量接受汉族文化和生产技术。历史上曾建立过仇池、前秦、后凉等国。氐 dǐ根本。又见dī。
3551,邝,表3丙表1000字,5画,kuàng,丶 一 丿 ㇌ 丨,true(a5~e5),邝 姓邝（鄺） kuàng姓。
3552,邙,表3丙表1000字,5画,máng,丶 一 ㇄ ㇌ 丨,true(a5~e5),邙 古邑名 山名 邙máng北邙山，在河南省。
3554,讦,表3丙表1000字,5画,jié,丶 ㇊ 一 一 丨,true(a5~e5),讦 (形声。从言，干声。本义攻击别人的短处或揭发别人的阴私) 同本义讦，面相斥罪相告讦也。--《说文》恶讦以为直者。--《论语》。皇疏谓面发人之阴私也。所上者，告讦也。--《汉书·贾谊传》吏民相告讦。--《汉书·赵广汉传》又如讦发(揭发，揭露);讦告(揭发控告);讦奏(揭发上奏);讦调(揭露他人的隐私和短处)讦jié攻击或揭发别人的短处攻～。知而～之。　讦jì 1.直言无讳。
3561,弁,表3丙表1000字,5画,biàn,𠃋 丶 一 丿 丨,true(a5~e5),弁 古时的一种官帽，通常配礼服用(吉礼之服用冕)。赤黑色布做叫爵弁，是文冠;白鹿皮做的叫皮弁，是武冠◇泛指帽子 覍，冠也。周曰覍，殷曰吁，夏曰收。--《说文》。俗作卞。凡大夫以上服冕，士弁，制如冕爵。弁者，古冠之大称。委貌缁布曰冠。--《周礼·弁师》注皮弁。--《仪礼·士冠礼》。服注以白鹿皮为冠。弁，周冠名。--《广韵》突而弁兮。--《诗·小雅·甫田》王与大夫尽弁。--《书·金縢》。传弁，皮弁。不说(脱掉)弁而死于崔氏。--《左传·襄公二十五年》又如弁师(周礼官名。为夏官的弁 biàn①古代贵族的一种帽子，通常穿礼服时用之(吉礼之服用冕)。赤黑色的布做的叫爵弁，是文冠;白鹿皮做的叫皮弁，是武冠。②泛指帽子。③加弁;加冠。④放在前面。⑤武官服皮弁，因称武官为弁。⑥清代用以称基层武官。⑦徒手搏斗。⑧惊惧;战抖。⑨快速，急促。⑩姓『有弁严子。弁 pán通'般'。快乐。
3564,耒,表3丙表1000字,6画,lěi,一 一 一 丨 丿 ㇏,true(a6~e6),耒〈动〉(象形。古代的一种翻土农具，形如木叉，上有曲柄，下面是犁头，用以松土，可看作犁的前身。耒是汉字部首之一，从耒的字，与原始农具或耕作有关。本义古代的一种农具，形状像木叉) 同本义 耒，手耕曲木也。--《说文》天子亲载耒耜。--《礼记·月令》。注耒耜之上曲也。耒耨之所刺。--《庄子·胠箧》。李注耜柄也，犁也。耜其柄，耜其刃。--《后汉书·章帝纪》身执耒臿。--《韩非子·五蠹》又如耒耨(耕耘用的农器。指犁锄)。亦指耜的木曲柄。又如耒耜耒耜耒lěi⒈〈古〉一种农具，形状像木叉。⒉
3566,玑,表3丙表1000字,6画,jī,一 一 丨 ㇀ 丿 ⺄,true(a6~e6),玑 (形声。从玉， 幾声。本义不圆的珠子)同本义 璣，珠不圆者也。--《说文》厥篚元纁玑组。--《书·禹贡》傅玑之珥。--《史记·李斯传》爱已之一苍璧小玑。--《吕氏春秋·重已》趚丹明玑。--左思《吴都赋》瑇瑁珠玑。--《史记·货殖列传》又如玑镜(以有光的大珠制成的镜子;也指明镜。用以赞美他人的鉴识能力);玑贝(珍珠宝贝;比喻佳作)玑衡，古代的一种天文仪器 在璿玑玉衡。--《虞书》玑为转运。--《北堂书钞引书大传》玑玑（璣）jī⒈不圆的珠子。⒉〈古〉观测天文的仪器。
3568,圩,表3丙表1000字,6画,xū、wéi,一 丨 ㇀ 一 一 亅,true(a6~e6),圩wei(形声。从土，于声。本义低洼区防水护田的土堤)同本义 圩，圩岸。--《字汇》又如圩丁(修筑圩田的人);圩户(耕种圩田的农户);圩防(堤坊，堤堰);圩长(主管圩田堤防事务的人);圩埂(围人的堤堰);圩墙(用土石筑成的围绕村镇的墙)围绕村落四周的障碍物，也作围子 凹，中央低而四周高 圩 筑圩防水 近水居民，又从而圩之田之，而向日受水之区，十去圩wéi⒈低洼地区用于防水的堤岸筑～。⒉圩围以内的区域～田。盐～。⒊圩xū⒈闽粤等地称集市～场。赶～。〈古〉也作'虚'。圩yú 1.窊，凹。
3570,圭,表3丙表1000字,6画,guī,一 丨 一 一 丨 一,true(a6~e6),圭 (会意。从重土。本义古玉器名。长条形，上端作三角形，下端正方。中国古代贵族朝聘、祭祀、丧葬时以为礼器。依其大小，以别尊卑。又作珪)同本义 瑞贽珪者兑上。--《白虎通》孰为珪璋。--《庄子·马蹄》。李注锐上方下曰珪。以青圭礼东方。--《周礼·大宗伯》。注圭锐象春物初生。司马牛致其邑与珪焉。--《左传·哀公十四年》。注守邑符信。圭币(帛)俎豆(均为祭器)。--《汉书·郊祀志圭guī⒈〈古〉用作凭信的玉，上圆（或尖头形）下方。帝王、诸侯在举行朝会、祭祀的典礼时拿这种玉器。⒉〈古〉测日影的器具土～测景（景日影）。⒊⒋〈古〉容量单位。一升的十万分之一。
3571,扦,表3丙表1000字,6画,qiān,一 亅 ㇀ 丿 一 丨,true(a6~e6),扦〈名〉扦子，金属、竹等制成的针状物或主要部分是针状的器物 扦 〈动〉扦插扦担扦手扦qiān⒈用竹木或金属等制成的一头尖细的东西竹～。木～子。铁～儿。⒉插～花。把门～上。扦chǐ 1.顺着纹理劈析。
3578,芊,表3丙表1000字,6画,qiān,一 丨 丨 丿 一 丨,true(a6~e6),芊〈形〉草木茂盛的样子 碧绿色 芊绵，芊眠芊芊蚤是伤春梦雨天，可堪芳草更芊芊。--韦庄《长安清明》亦作阡阡、仟仟仰视山巅，肃何芊芊。--《文选·宋玉·高唐赋》芊qiān⒈⒉芊qiàn 1.见'芊萰'。
3581,芨,表3丙表1000字,6画,jī,一 丨 丨 丿 ㇋ ㇏,true(a6~e6),芨 堇草，即陆英 芨jī⒈⒉
3583,芎,表3丙表1000字,6画,xiōng,一 丨 丨 𠃍 一 ㇉,true(a6~e6),芎藭芎xiōng
3584,芗,表3丙表1000字,6画,xiāng,一 丨 丨 𠃋 𠃋 丿,true(a6~e6),芗 谷香 芗，谷气也。--《说文新附》黍曰芗合，粱曰芗萁。--《礼记·曲礼下》炷芗于手项以送公葬者凡百余人。--《司马温公神道碑》用以调味的香草 雏烧，雉，芗无蓼。--《礼记》。郑玄注苏荏之属也。又如芗脯(把猪羊放在小鼎中烹煮，使它香美)芗（薵）xiāng⒈气味好闻，味道鲜美，跟'臭'相对～气。～花。稻谷～。饭菜～。⒉指有香味的东西～水。檀～。洗发～波。⒊舒适，受欢迎睡得可～。这批货上市～得很。⒋〈古〉指一种香草，可用于调味。
3590,乩,表3丙表1000字,6画,jī,丨 一 丨 𠃍 一 乚,true(a6~e6),乩 通过占卜问吉凶 堂上设了乩坛。--《红楼梦》又如乩语(巫神在沙盘上写出的预示吉凶的话);乩坛(放扶乩用具的桌子);乩架(扶乩用的架子);扶乩(又叫扶鸾。二人扶丁字形木架在沙盘上划字，说是为人决疑治病，预示吉凶)乩jī
3598,缶,表3丙表1000字,6画,fǒu,丿 一 一 丨 ㇄ 丨,true(a6~e6),缶〈名〉(象形。甲骨文字形，上面是午字，即杵。下面是缶的本体。杵是棒子，可用来制坯。缶又是秦乐器，杵可以敲击成曲。本义瓦器， 圆腹小口，用以盛酒浆等)盛酒浆的瓦器。大腹小口，有盖。也有铜制的 缶，瓦器所以盛酒浆，秦人鼓之以节歌。象形。--《说文》盎谓之缶。--《尔雅》贰用缶。--《易·坎》以二缶钟惑。--《庄子·天地》。按，钟聚也。有孚盈缶。--《易·比》。郑注汲器。坎其击缶。--《诗·陈风·宛丘》击瓮叩缶。--《史记·李斯缶 fǒu⒈口小肚大的瓦器。⒉〈古〉一种瓦质的打击乐器。
3600,氖,表3丙表1000字,6画,nǎi,丿 一 一 ⺄ 𠄎 丿,true(a6~e6),氖〈名〉一种无色无嗅的惰性气体元素，原子序数10，存在于空气中，按体积计含量约占千分之二，可由液态空气分离得到，在真空管内发出淡红色辉光，用于电灯中 氖nǎi稀有气体化学元素。符号ne。无色无臭，难与其它元素化合。电流通过装有氖气的真空管，能发红光，故可用它来制造霓虹灯，指示灯等。
